Purchase ID,Location,Product ID,Order Date,Delivery Date,Order Quantity,Stock Balance,Stock Value
P100177,Basalt,P028,8/6/2024,9/4/2024,567,0,0
P100178,Ceres,P013,8/6/2024,9/4/2024,163,0,0
P100179,Ceres,P010,8/6/2024,8/20/2024,613,0,0
P100180,Basalt,P039,8/6/2024,9/7/2024,649,0,0
P100181,Apsis,P059,8/6/2024,9/1/2024,481,0,0
P100182,Basalt,P031,8/6/2024,9/2/2024,328,0,0
P100183,Basalt,P014,8/6/2024,8/22/2024,437,0,0
P100184,Basalt,P047,8/7/2024,8/29/2024,298,0,0
P100185,Basalt,P049,8/7/2024,8/21/2024,243,0,0
P100186,Ceres,P062,8/8/2024,9/1/2024,464,0,0
P100187,Apsis,P017,8/8/2024,9/8/2024,474,0,0
P100188,Apsis,P066,8/8/2024,8/19/2024,609,0,0
P100189,Apsis,P001,8/8/2024,9/11/2024,341,0,0
P100190,Apsis,P054,8/8/2024,8/22/2024,633,0,0
P100191,Ceres,P060,8/8/2024,8/19/2024,595,0,0
P100192,Apsis,P010,8/9/2024,8/28/2024,442,0,0
P100193,Ceres,P019,8/10/2024,9/10/2024,459,0,0
P100194,Basalt,P068,8/10/2024,9/17/2024,529,0,0
P100195,Ceres,P057,8/10/2024,9/12/2024,184,0,0
P100196,Ceres,P031,8/11/2024,8/22/2024,482,0,0
P100197,Ceres,P069,8/12/2024,9/10/2024,625,0,0
P100198,Apsis,P013,8/12/2024,9/3/2024,313,0,0
P100199,Basalt,P038,8/15/2024,8/28/2024,203,0,0
P100200,Basalt,P022,8/15/2024,9/1/2024,242,0,0
P100201,Basalt,P013,8/15/2024,9/18/2024,172,0,0
P100202,Ceres,P068,8/16/2024,9/2/2024,467,0,0
P100203,Basalt,P053,8/16/2024,9/22/2024,446,0,0
P100204,Basalt,P036,8/16/2024,9/3/2024,559,0,0
P100205,Basalt,P005,8/16/2024,9/8/2024,637,0,0
P100206,Apsis,P057,8/18/2024,9/6/2024,450,0,0
P100207,Ceres,P025,8/19/2024,9/6/2024,499,0,0
P100208,Basalt,P030,8/19/2024,9/11/2024,571,0,0
P100209,Basalt,P002,8/20/2024,9/19/2024,664,0,0
P100210,Ceres,P035,8/20/2024,9/24/2024,581,0,0
P100211,Ceres,P013,8/20/2024,9/26/2024,441,0,0
P100212,Basalt,P056,8/20/2024,9/21/2024,520,0,0
P100213,Basalt,P058,8/21/2024,9/9/2024,304,0,0
P100214,Apsis,P069,8/21/2024,9/12/2024,415,0,0
P100215,Ceres,P039,8/21/2024,9/7/2024,636,0,0
P100216,Ceres,P014,8/22/2024,9/22/2024,210,0,0
P100217,Apsis,P052,8/22/2024,9/18/2024,233,0,0
P100218,Ceres,P044,8/23/2024,9/28/2024,357,0,0
P100219,Apsis,P013,8/23/2024,9/5/2024,489,0,0
P100220,Ceres,P053,8/23/2024,9/12/2024,403,0,0
P100221,Apsis,P035,8/23/2024,9/15/2024,347,0,0
P100222,Apsis,P053,8/24/2024,9/22/2024,604,0,0
P100223,Ceres,P064,8/24/2024,9/16/2024,529,0,0
P100224,Ceres,P032,8/24/2024,9/9/2024,562,0,0
P100225,Apsis,P039,8/24/2024,9/24/2024,606,0,0
P100226,Apsis,P019,8/24/2024,9/4/2024,457,0,0
P100227,Basalt,P035,8/25/2024,9/11/2024,527,0,0
P100228,Basalt,P063,8/25/2024,9/10/2024,566,0,0
P100229,Ceres,P036,8/25/2024,9/15/2024,403,0,0
P100230,Apsis,P070,8/26/2024,10/2/2024,499,0,0
P100231,Basalt,P051,8/26/2024,9/24/2024,151,0,0
P100232,Ceres,P005,8/27/2024,9/8/2024,335,0,0
P100233,Basalt,P037,8/27/2024,9/13/2024,173,0,0
P100234,Apsis,P044,8/27/2024,9/20/2024,167,0,0
P100235,Basalt,P010,8/28/2024,9/10/2024,192,0,0
P100236,Ceres,P063,8/28/2024,9/25/2024,344,0,0
P100237,Apsis,P060,8/28/2024,9/7/2024,503,0,0
P100238,Ceres,P049,8/29/2024,10/2/2024,629,0,0
P100239,Apsis,P012,8/29/2024,10/3/2024,478,0,0
P100240,Basalt,P012,8/30/2024,9/14/2024,477,0,0
P100241,Basalt,P019,8/30/2024,9/25/2024,338,0,0
P100242,Apsis,P042,8/30/2024,9/17/2024,194,0,0
P100243,Basalt,P053,8/31/2024,9/25/2024,297,0,0
P100244,Apsis,P025,9/1/2024,9/27/2024,216,0,0
P100245,Ceres,P030,9/1/2024,10/8/2024,476,0,0
P100246,Basalt,P027,9/1/2024,10/1/2024,559,0,0
P100247,Ceres,P010,9/1/2024,9/13/2024,658,0,0
P100248,Apsis,P049,9/2/2024,10/1/2024,192,0,0
P100249,Basalt,P034,9/2/2024,10/2/2024,600,0,0
P100250,Ceres,P053,9/2/2024,9/12/2024,366,0,0
P100251,Ceres,P002,9/3/2024,10/6/2024,607,0,0
P100252,Basalt,P013,9/3/2024,9/13/2024,367,0,0
P100253,Ceres,P035,9/4/2024,9/25/2024,188,0,0
P100254,Ceres,P058,9/5/2024,9/27/2024,556,0,0
P100255,Apsis,P009,9/5/2024,10/8/2024,304,0,0
P100256,Basalt,P006,9/6/2024,9/23/2024,341,0,0
P100257,Basalt,P070,9/6/2024,9/20/2024,553,0,0
P100258,Apsis,P020,9/6/2024,10/13/2024,556,0,0
P100259,Basalt,P001,9/7/2024,10/14/2024,447,0,0
P100260,Ceres,P034,9/7/2024,10/14/2024,588,0,0
P100261,Basalt,P016,9/7/2024,9/17/2024,482,0,0
P100262,Basalt,P065,9/7/2024,9/23/2024,669,0,0
P100263,Basalt,P049,9/8/2024,9/24/2024,579,0,0
P100264,Ceres,P012,9/8/2024,9/22/2024,496,0,0
P100265,Apsis,P014,9/8/2024,10/12/2024,575,0,0
P100266,Apsis,P046,9/9/2024,9/19/2024,233,0,0
P100267,Ceres,P016,9/9/2024,9/25/2024,444,0,0
P100268,Basalt,P044,9/9/2024,9/19/2024,455,0,0
P100269,Apsis,P035,9/9/2024,9/23/2024,609,0,0
P100270,Ceres,P028,9/10/2024,9/25/2024,519,0,0
P100271,Basalt,P060,9/10/2024,10/16/2024,280,0,0
P100272,Apsis,P031,9/10/2024,10/6/2024,668,0,0
P100273,Basalt,P009,9/10/2024,10/1/2024,419,0,0
P100274,Apsis,P068,9/11/2024,9/25/2024,245,0,0
P100275,Ceres,P070,9/11/2024,10/6/2024,613,0,0
P100276,Basalt,P055,9/12/2024,10/16/2024,645,0,0
P100277,Apsis,P064,9/12/2024,10/13/2024,204,0,0
P100278,Apsis,P050,9/13/2024,10/1/2024,483,0,0
P100279,Ceres,P055,9/13/2024,10/6/2024,263,0,0
P100280,Basalt,P018,9/13/2024,9/23/2024,321,0,0
P100281,Basalt,P029,9/13/2024,10/16/2024,488,0,0
P100282,Ceres,P013,9/14/2024,10/6/2024,437,0,0
P100283,Basalt,P025,9/14/2024,10/6/2024,350,0,0
P100284,Apsis,P070,9/14/2024,10/20/2024,414,0,0
P100285,Ceres,P040,9/14/2024,10/14/2024,634,0,0
P100286,Basalt,P045,9/15/2024,10/10/2024,399,0,0
P100287,Apsis,P016,9/15/2024,10/12/2024,205,0,0
P100288,Ceres,P051,9/16/2024,10/4/2024,213,0,0
P100289,Basalt,P057,9/16/2024,10/15/2024,326,0,0
P100290,Apsis,P053,9/16/2024,10/15/2024,478,0,0
P100291,Ceres,P061,9/16/2024,10/14/2024,557,0,0
P100292,Apsis,P043,9/17/2024,10/21/2024,450,0,0
P100293,Ceres,P027,9/18/2024,10/20/2024,568,0,0
P100294,Basalt,P066,9/20/2024,10/9/2024,394,0,0
P100295,Basalt,P046,9/21/2024,10/16/2024,453,0,0
P100296,Apsis,P004,9/22/2024,10/15/2024,660,0,0
P100297,Ceres,P019,9/22/2024,10/24/2024,640,0,0
P100298,Ceres,P057,9/22/2024,10/7/2024,672,0,0
P100299,Ceres,P065,9/23/2024,10/27/2024,425,0,0
P100300,Apsis,P063,9/23/2024,10/3/2024,673,0,0
P100301,Ceres,P060,9/23/2024,10/3/2024,160,0,0
P100302,Basalt,P069,9/23/2024,10/8/2024,332,0,0
P100303,Basalt,P042,9/24/2024,10/10/2024,669,0,0
P100304,Basalt,P014,9/24/2024,10/29/2024,387,0,0
P100305,Basalt,P004,9/25/2024,11/2/2024,194,0,0
P100306,Basalt,P050,9/25/2024,10/23/2024,154,0,0
P100307,Basalt,P035,9/26/2024,10/24/2024,490,0,0
P100308,Ceres,P024,9/26/2024,10/10/2024,562,0,0
P100309,Ceres,P009,9/26/2024,10/19/2024,532,0,0
P100310,Basalt,P017,9/26/2024,10/10/2024,441,0,0
P100311,Apsis,P060,9/27/2024,10/16/2024,221,0,0
P100312,Apsis,P005,9/27/2024,10/20/2024,511,0,0
P100313,Ceres,P017,9/27/2024,11/4/2024,217,22,55264
P100314,Basalt,P026,9/27/2024,10/16/2024,595,0,0
P100315,Apsis,P002,9/28/2024,10/29/2024,340,0,0
P100316,Basalt,P048,9/28/2024,10/19/2024,416,0,0
P100317,Apsis,P065,9/29/2024,10/21/2024,654,0,0
P100318,Ceres,P029,9/29/2024,10/26/2024,619,0,0
P100319,Ceres,P067,9/29/2024,11/1/2024,450,0,0
P100320,Basalt,P070,9/30/2024,10/29/2024,376,0,0
P100321,Basalt,P059,9/30/2024,10/10/2024,484,0,0
P100322,Ceres,P045,9/30/2024,11/4/2024,223,0,0
P100323,Apsis,P024,9/30/2024,10/18/2024,438,0,0
P100324,Basalt,P041,9/30/2024,10/11/2024,247,0,0
P100325,Ceres,P049,10/1/2024,11/7/2024,465,0,0
P100326,Ceres,P026,10/1/2024,11/6/2024,569,0,0
P100327,Apsis,P058,10/2/2024,10/30/2024,172,0,0
P100328,Apsis,P032,10/2/2024,10/21/2024,434,0,0
P100329,Basalt,P031,10/3/2024,11/1/2024,247,0,0
P100330,Basalt,P054,10/4/2024,10/19/2024,315,0,0
P100331,Basalt,P053,10/5/2024,11/4/2024,376,0,0
P100332,Ceres,P041,10/5/2024,10/23/2024,349,0,0
P100333,Basalt,P023,10/6/2024,11/5/2024,492,0,0
P100334,Ceres,P042,10/6/2024,10/17/2024,182,0,0
P100335,Apsis,P040,10/6/2024,10/24/2024,535,0,0
P100336,Apsis,P026,10/6/2024,11/5/2024,348,0,0
P100337,Ceres,P066,10/7/2024,10/24/2024,333,0,0
P100338,Apsis,P061,10/7/2024,10/21/2024,335,0,0
P100339,Ceres,P023,10/7/2024,10/31/2024,247,0,0
P100340,Apsis,P012,10/8/2024,11/15/2024,221,0,0
P100341,Basalt,P016,10/10/2024,10/29/2024,659,0,0
P100342,Apsis,P034,10/10/2024,11/12/2024,517,0,0
P100343,Apsis,P027,10/10/2024,11/10/2024,232,0,0
P100344,Ceres,P053,10/11/2024,11/4/2024,254,20,6920
P100345,Apsis,P045,10/11/2024,11/7/2024,594,0,0
P100346,Basalt,P026,10/11/2024,11/12/2024,748,75,202350
P100347,Ceres,P050,10/11/2024,11/10/2024,159,0,0
P100348,Apsis,P009,10/12/2024,11/1/2024,615,0,0
P100349,Basalt,P027,10/12/2024,10/26/2024,171,0,0
P100350,Apsis,P050,10/12/2024,10/27/2024,596,0,0
P100351,Basalt,P034,10/12/2024,11/9/2024,155,0,0
P100352,Ceres,P048,10/12/2024,11/5/2024,508,0,0
P100353,Apsis,P055,10/13/2024,10/26/2024,467,0,0
P100354,Ceres,P033,10/13/2024,10/27/2024,610,0,0
P100355,Basalt,P064,10/13/2024,11/10/2024,268,0,0
P100356,Basalt,P024,10/13/2024,11/8/2024,502,0,0
P100357,Apsis,P023,10/14/2024,10/28/2024,266,0,0
P100358,Ceres,P069,10/14/2024,10/27/2024,433,0,0
P100359,Apsis,P069,10/14/2024,10/31/2024,577,0,0
P100360,Ceres,P056,10/14/2024,11/5/2024,263,39,2652
P100361,Ceres,P027,10/15/2024,11/18/2024,80,10,35420
P100362,Basalt,P055,10/15/2024,11/1/2024,446,54,11178
P100363,Basalt,P045,10/16/2024,11/15/2024,662,0,0
P100364,Basalt,P052,10/16/2024,11/12/2024,720,72,25560
P100365,Apsis,P049,10/16/2024,11/21/2024,342,0,0
P100366,Ceres,P003,10/17/2024,11/23/2024,478,0,0
P100367,Basalt,P012,10/18/2024,11/16/2024,479,57,14307
P100368,Basalt,P050,10/18/2024,11/12/2024,388,43,10578
P100369,Apsis,P010,10/18/2024,11/10/2024,214,26,7852
P100370,Ceres,P024,10/18/2024,11/25/2024,451,0,0
P100371,Ceres,P016,10/18/2024,11/20/2024,487,0,0
P100372,Apsis,P015,10/19/2024,11/14/2024,497,55,12870
P100373,Basalt,P020,10/20/2024,11/9/2024,266,0,0
P100374,Basalt,P011,10/21/2024,11/24/2024,212,25,8100
P100375,Ceres,P064,10/21/2024,10/31/2024,651,0,0
P100376,Apsis,P024,10/21/2024,11/19/2024,519,0,0
P100377,Apsis,P066,10/21/2024,11/21/2024,562,0,0
P100378,Apsis,P057,10/21/2024,11/8/2024,437,0,0
P100379,Apsis,P053,10/22/2024,11/29/2024,165,17,5882
P100380,Apsis,P013,10/22/2024,11/6/2024,153,17,5780
P100381,Apsis,P028,10/23/2024,11/12/2024,499,60,153360
P100382,Basalt,P024,10/24/2024,11/4/2024,678,0,0
P100383,Basalt,P066,10/25/2024,11/22/2024,584,58,5278
P100384,Ceres,P012,10/26/2024,11/26/2024,158,24,6024
P100385,Apsis,P027,10/26/2024,11/21/2024,405,45,159390
P100386,Apsis,P041,10/26/2024,11/16/2024,432,0,0
P100387,Apsis,P003,10/26/2024,12/1/2024,208,21,4704
P100388,Ceres,P035,10/26/2024,11/5/2024,225,27,3591
P100389,Basalt,P057,10/26/2024,11/29/2024,427,51,11781
P100390,Apsis,P067,10/26/2024,11/28/2024,394,0,0
P100391,Ceres,P044,10/26/2024,11/24/2024,455,0,0
P100392,Basalt,P065,10/26/2024,11/15/2024,458,0,0
P100393,Apsis,P036,10/27/2024,11/25/2024,542,0,0
P100394,Ceres,P066,10/27/2024,11/12/2024,235,19,1729
P100395,Basalt,P010,10/29/2024,11/10/2024,788,118,35636
P100396,Ceres,P070,10/29/2024,12/6/2024,594,0,0
P100397,Ceres,P014,10/30/2024,12/6/2024,440,0,0
P100398,Basalt,P040,10/30/2024,11/17/2024,550,66,125136
P100399,Basalt,P009,10/31/2024,12/8/2024,829,83,22908
P100400,Apsis,P016,10/31/2024,11/23/2024,613,0,0
P100401,Apsis,P029,10/31/2024,11/30/2024,459,60,53700
P100402,Ceres,P046,10/31/2024,12/3/2024,124,15,20475
P100403,Apsis,P048,10/31/2024,11/25/2024,587,0,0
P100404,Basalt,P041,11/1/2024,12/5/2024,408,0,0
P100405,Apsis,P014,11/1/2024,12/1/2024,596,0,0
P100406,Ceres,P010,11/1/2024,12/8/2024,163,24,7248
P100407,Ceres,P022,11/2/2024,11/29/2024,126,15,36765
P100408,Basalt,P036,11/2/2024,12/3/2024,339,0,0
P100409,Basalt,P016,11/3/2024,11/18/2024,549,0,0
P100410,Apsis,P044,11/3/2024,12/7/2024,479,0,0
P100411,Basalt,P048,11/3/2024,11/17/2024,632,0,0
P100412,Apsis,P062,11/4/2024,12/11/2024,578,0,0
P100413,Basalt,P005,11/5/2024,11/21/2024,291,29,3944
P100414,Apsis,P064,11/5/2024,11/24/2024,353,42,4746
P100415,Ceres,P037,11/5/2024,11/22/2024,146,15,38970
P100416,Basalt,P049,11/6/2024,12/11/2024,632,0,0
P100417,Ceres,P055,11/7/2024,11/28/2024,182,15,3105
P100418,Ceres,P001,11/7/2024,12/12/2024,193,10,1800
P100419,Ceres,P031,11/7/2024,12/10/2024,364,0,0
P100420,Apsis,P001,11/7/2024,11/27/2024,239,24,4320
P100421,Basalt,P043,11/7/2024,11/26/2024,291,44,54824
P100422,Basalt,P060,11/7/2024,11/18/2024,205,29,9802
P100423,Basalt,P028,11/8/2024,11/30/2024,479,53,135468
P100424,Basalt,P001,11/8/2024,12/7/2024,380,38,6840
P100425,Apsis,P008,11/8/2024,11/25/2024,449,54,4320
P100426,Basalt,P058,11/8/2024,11/25/2024,516,0,0
P100427,Basalt,P053,11/8/2024,11/29/2024,175,21,7266
P100428,Apsis,P035,11/9/2024,12/4/2024,238,36,4788
P100429,Basalt,P027,11/9/2024,11/25/2024,302,45,159390
P100430,Ceres,P016,11/9/2024,11/19/2024,508,0,0
P100431,Apsis,P021,11/10/2024,12/5/2024,414,41,81385
P100432,Apsis,P046,11/10/2024,11/22/2024,232,26,35490
P100433,Apsis,P016,11/11/2024,11/21/2024,366,0,0
